0;0;0;0;land;false;unknown;0
1;198;220;140;land;false;hills;1
2;128;245;136;land;false;hills;1
3;228;224;132;land;false;hills;1
4;169;240;150;land;false;hills;1
5;215;162;251;land;false;hills;1
6;222;180;207;land;false;hills;1
7;118;219;175;land;false;mountain;1
8;164;201;170;land;false;forest;1
9;238;188;107;land;false;plains;1
10;248;134;217;land;false;hills;1
11;214;74;222;land;true;hills;1
12;181;180;244;land;false;hills;1
13;132;195;253;land;true;urban;1
14;245;223;162;land;true;hills;1
15;245;43;253;land;false;hills;1
16;163;208;222;land;false;hills;1
17;237;218;219;land;false;hills;1
18;231;211;250;land;false;hills;1
19;206;84;241;land;false;hills;1
20;246;193;165;land;false;hills;1
21;252;143;201;land;false;forest;1
22;183;234;114;land;false;hills;1
23;174;192;171;land;false;hills;1
24;171;177;188;land;false;plains;1
25;170;172;236;land;false;hills;1
26;254;208;57;land;false;hills;1
27;178;117;247;land;false;hills;1
28;226;227;153;land;false;hills;1
29;206;212;183;land;false;hills;1
30;175;175;220;land;false;hills;1
31;177;193;138;land;false;hills;1
32;174;149;204;land;false;hills;1
33;224;113;212;land;false;hills;1
34;199;140;232;land;false;hills;1
35;203;248;60;land;false;jungle;1
36;239;92;222;land;true;urban;1
37;161;224;174;land;false;hills;1
38;225;219;158;land;false;hills;1
39;177;177;162;land;false;plains;1
40;194;192;175;land;false;hills;1
41;218;233;66;land;false;plains;1
42;222;130;221;land;false;hills;1
43;145;171;198;land;false;hills;1
44;167;131;250;land;false;hills;1
45;218;192;153;land;false;hills;1
46;193;205;242;land;false;hills;1
47;229;231;179;land;false;hills;1
48;128;167;221;land;false;hills;1
49;241;154;203;land;false;plains;1
50;227;251;183;land;false;hills;1
51;227;201;175;land;true;plains;1
52;248;131;129;land;false;hills;1
53;225;182;187;land;false;hills;1
54;228;200;203;land;false;mountain;1
55;44;233;228;land;false;hills;1
56;149;128;254;land;false;hills;1
57;112;188;229;land;false;hills;1
58;245;191;231;land;false;hills;1
59;216;192;113;land;false;hills;1
60;217;202;226;land;false;hills;1
61;205;208;130;land;false;hills;1
62;247;129;249;land;false;hills;1
63;57;236;235;land;false;jungle;1
64;138;210;172;land;false;jungle;1
